"code";"code_parent";"description";"layer_no"
"284";"28";"Vervaardiging van gereedschapswerktuigen ";3
"2841";"284";"Vervaardiging van gereedschapswerktuigen voor metaalbewerking";4
"2849";"284";"Vervaardiging van  gereedschapswerktuigen niet voor metaalbewerking";4
"289";"28";"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden";3
"2891";"289";"Vervaardiging van machines voor de metallurgie";4
"2892";"289";"Vervaardiging van machines voor de bouw en winning van delfstoffen";4
"2893";"289";"Vervaardiging van machines voor de productie van voedings- en genotmiddelen";4
"2894";"289";"Vervaardiging van machines voor de productie van textiel, kleding en leer";4
"2895";"289";"Vervaardiging van machines voor de productie van papier en karton";4
"2896";"289";"Vervaardiging van machines voor de kunststof- en rubberindustrie";4
"2899";"289";"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden (rest)";4
"291";"29";"Vervaardiging van auto's";3
"2910";"291";"Vervaardiging van auto's";4
"292";"29";"Carrosseriebouw; vervaardiging van aanhangwagens en opleggers";3
"2920";"292";"Carrosseriebouw; vervaardiging van aanhangwagens en opleggers";4
"29201";"2920";"Carrosseriebouw";5
"29202";"2920";"Vervaardiging van aanhangwagens en opleggers";5
"293";"29";"Vervaardiging van onderdelen en toebehoren voor auto's ";3
"2931";"293";"Vervaardiging van elektrische en elektronische onderdelen en toebehoren  voor auto's ";4
"2932";"293";"Vervaardiging van niet-elektrische en -elektronische  onderdelen en toebehoren voor auto's";4
"301";"30";"Scheepsbouw";3
"3011";"301";"Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen) ";4
"3012";"301";"Bouw van sport- en recreatievaartuigen ";4
"302";"30";"Vervaardiging van rollend spoor- en tramwegmaterieel";3
"3020";"302";"Vervaardiging van rollend spoor- en tramwegmaterieel ";4
"303";"30";"Vervaardiging van vliegtuigen en onderdelen daarvoor";3
"3030";"303";"Vervaardiging van vliegtuigen en onderdelen daarvoor";4
"304";"30";"Vervaardiging van militaire gevechtsvoertuigen";3
"3040";"304";"Vervaardiging van militaire gevechtsvoertuigen";4
"309";"30";"Vervaardiging van transportmiddelen (rest)";3
"3091";"309";"Vervaardiging van motor- en bromfietsen";4
"3092";"309";"Vervaardiging van fietsen en invalidenwagens";4
"3099";"309";"Vervaardiging van overige transportmiddelen (rest)";4
"310";"31";"Vervaardiging van meubels";3
"3101";"310";"Interieurbouw en vervaardiging van bedrijfsmeubels";4
"31011";"3101";"Interieurbouw";5
"31012";"3101";"Vervaardiging van bedrijfsmeubels";5
"3102";"310";"Vervaardiging van keukenmeubels";4
"3103";"310";"Vervaardiging van matrassen";4
"3109";"310";"Vervaardiging van overige meubels";4
"321";"32";"Slaan van munten; bewerken van edelstenen en vervaardiging van sieraden e.d.";3
"3211";"321";"Slaan van munten en medailles";4
"3212";"321";"Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie)";4
"3213";"321";"Vervaardiging van imitatiesieraden ";4
"322";"32";"Vervaardiging van muziekinstrumenten";3
"3220";"322";"Vervaardiging van muziekinstrumenten";4
"323";"32";"Vervaardiging van sportartikelen";3
"3230";"323";"Vervaardiging van sportartikelen";4
"324";"32";"Vervaardiging van speelgoed en spellen";3
"3240";"324";"Vervaardiging van speelgoed en spellen";4
"325";"32";"Vervaardiging van medische instrumenten en hulpmiddelen";3
"3250";"325";"Vervaardiging van medische instrumenten en hulpmiddelen";4
"32501";"3250";"Tandtechnische bedrijven";5
"32502";"3250";"Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek)";5
"329";"32";"Vervaardiging van overige goederen";3
"3291";"329";"Vervaardiging van borstelwaren";4
"3299";"329";"Sociale werkvoorziening en vervaardiging van overige goederen (rest)";4
"32991";"3299";"Sociale werkvoorziening";5
"32999";"3299";"Vervaardiging van overige goederen (rest)";5
"331";"33";"Reparatie van producten van metaal, machines en apparatuur";3
"3311";"331";"Reparatie van producten van metaal";4
"3312";"331";"Reparatie en onderhoud van machines";4
"33121";"3312";"Reparatie en onderhoud van machines voor algemeen gebruik en machineonderdelen (geen gereedschap)";5
"33122";"3312";"Reparatie en onderhoud van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen";5
"33123";"3312";"Reparatie en onderhoud van machines voor een specifieke bedrijfstak";5
"3313";"331";"Reparatie van elektronische en optische apparatuur";4
"3314";"331";"Reparatie van elektrische apparatuur";4
"3315";"331";"Reparatie en onderhoud van schepen";4
"3316";"331";"Reparatie en onderhoud van vliegtuigen";4
"3317";"331";"Reparatie en onderhoud van overige transportmiddelen";4
"3319";"331";"Reparatie van overige apparatuur";4
"332";"33";"Installatie van industriële machines en apparatuur";3
"3321";"332";"Installatie van ketels en tanks";4
"3322";"332";"Installatie van industriële machines";4
"33221";"3322";"Installatie van machines voor algemeen gebruik (geen gereedschap)";5
"33222";"3322";"Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen";5
"33223";"3322";"Installatie van machines voor een specifieke bedrijfstak";5
"3323";"332";"Installatie van elektronische en optische apparatuur";4
"3324";"332";"Installatie van elektrische apparatuur";4
"3329";"332";"Installatie van overige toebehoren";4
"351";"35";"Productie van elektriciteit; transmissie en distributie van elektriciteit en aardgas";3
"3511";"351";"Productie van elektriciteit";4
"35111";"3511";"Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales";5
"35112";"3511";"Productie van elektriciteit door windenergie ";5
"35113";"3511";"Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht";5
"3512";"351";"Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water";4
"3513";"351";"Distributie van elektriciteit en gasvormige brandstoffen via leidingen";4
"3514";"351";"Handel in elektriciteit en in gas via leidingen";4
"352";"35";"Productie van aardgas";3
"3520";"352";"Productie van aardgas";4
"353";"35";"Productie en distributie van stoom en gekoelde lucht";3
"3530";"353";"Productie en distributie van stoom en gekoelde lucht";4
"360";"36";"Winning en distributie van water";3
"3600";"360";"Winning en distributie van water";4
"370";"37";"Afvalwaterinzameling en -behandeling";3
"3700";"370";"Afvalwaterinzameling en -behandeling";4
"381";"38";"Inzameling van afval";3
"3811";"381";"Inzameling van onschadelijk afval";4
"3812";"381";"Inzameling van schadelijk afval";4
"382";"38";"Behandeling van afval";3
"3821";"382";"Behandeling van onschadelijk afval";4
"3822";"382";"Behandeling van schadelijk afval";4
"383";"38";"Voorbereiding tot recycling";3
"3831";"383";"Sloop van schepen, witgoed, computers e.d. ";4
"3832";"383";"Gesorteerd materiaal voorbereiden tot recycling";4
"390";"39";"Sanering en overig afvalbeheer";3
"3900";"390";"Sanering en overig afvalbeheer";4
"411";"41";"Projectontwikkeling";3
"4110";"411";"Projectontwikkeling";4
"412";"41";"Algemene burgerlijke en utiliteitsbouw";3
"4120";"412";"Algemene burgerlijke en utiliteitsbouw";4
"421";"42";"Bouw van wegen, spoorwegen en kunstwerken";3
"4211";"421";"Wegenbouw en stratenmaken";4
"42111";"4211";"Wegenbouw";5
"42112";"4211";"Stratenmaken";5
"4212";"421";"Bouw van boven- en ondergrondse spoorwegen";4
"4213";"421";"Bouw van kunstwerken";4
"422";"42";"Leggen van kabels en buizen ";3
"4221";"422";"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling";4
"4222";"422";"Leggen van elektriciteits- en telecommunicatiekabels ";4
"429";"42";"Bouw van overige civieltechnische werken";3
"4291";"429";"Natte waterbouw";4
"4299";"429";"Bouw van overige civieltechnische werken (rest)";4
"431";"43";"Slopen van bouwwerken, grondverzet en proefboren";3
"4311";"431";"Slopen van bouwwerken";4
"4312";"431";"Grondverzet";4
"4313";"431";"Proefboren";4
"432";"43";"Bouwinstallatie";3
"4321";"432";"Elektrotechnische bouwinstallatie";4
"4322";"432";"Loodgieters- en fitterswerk; installatie van sanitair en van verwarmings- en luchtbehandelingsapparatuur";4
"43221";"4322";"Loodgieters- en fitterswerk; installatie van sanitair ";5
"43222";"4322";"Installatie van verwarmings- en luchtbehandelingsapparatuur";5
"4329";"432";"Overige bouwinstallatie";4
"433";"43";"Afwerking van gebouwen";3
"4331";"433";"Stukadoren";4
"4332";"433";"Bouwtimmeren";4
"4333";"433";"Afwerking van vloeren en wanden ";4
"4334";"433";"Schilderen en glaszetten";4
"4339";"433";"Overige afwerking van gebouwen";4
"439";"43";"Dakbouw en overige gespecialiseerde werkzaamheden in de bouw";3
"4391";"439";"Dakdekken en bouwen van dakconstructies ";4
"4399";"439";"Overige gespecialiseerde werkzaamheden in de bouw";4
"43991";"4399";"Heien en andere funderingswerkzaamheden";5
"43992";"4399";"Vlechten van betonstaal";5
"43993";"4399";"Metselen en voegen";5
"43999";"4399";"Overige gespecialiseerde werkzaamheden in de bouw (rest)";5
"451";"45";"Handel in autoâ€™s en aanhangers, eventueel gecombineerd met reparatie";3
"4511";"451";"Handel in en reparatie van personenauto's en lichte bedrijfsauto's";4
"45111";"4511";"Import van nieuwe personenauto's en lichte bedrijfsauto's";5
"45112";"4511";"Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe)";5
"4519";"451";"Handel in en reparatie van zwaardere bedrijfsauto's, aanhangers en caravans";4
"45191";"4519";"Import van nieuwe bedrijfsauto's";5
"45192";"4519";"Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe) ";5
"45193";"4519";"Handel in en reparatie van aanhangwagens en opleggers (geen caravans)";5
"45194";"4519";"Handel in en reparatie van caravans";5
"452";"45";"Gespecialiseerde reparatie van auto's";3
"4520";"452";"Gespecialiseerde reparatie van auto's";4
"45201";"4520";"Auto-onderdelenservicebedrijven";5
"45202";"4520";"Bandenservicebedrijven";5
"45203";"4520";"Reparatie van specifieke auto-onderdelen";5
"45204";"4520";"Carrosserieherstel";5
"45205";"4520";"Overige gespecialiseerde reparatie; wassen en slepen van auto's";5
"453";"45";"Handel in auto-onderdelen en -accessoires ";3
"4531";"453";"Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires";4
"45311";"4531";"Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden)";5
"45312";"4531";"Groothandel en handelsbemiddeling in banden";5
"4532";"453";"Detailhandel in auto-onderdelen en -accessoires";4
"454";"45";"Handel in en reparatie van motorfietsen en onderdelen daarvan ";3
"4540";"454";"Handel in en reparatie van motorfietsen en onderdelen daarvan";4
"45401";"4540";"Groothandel en handelsbemiddeling in motorfietsen en onderdelen daarvan";5
"45402";"4540";"Detailhandel in en reparatie van motorfietsen en onderdelen daarvan";5
"461";"46";"Handelsbemiddeling";3
"4611";"461";"Handelsbemiddeling in landbouwproducten, levende dieren en grondstoffen voor textiel en voedingsmiddelen ";4
"4612";"461";"Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten ";4
"4613";"461";"Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen ";4
"4614";"461";"Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen";4
"4615";"461";"Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren ";4
"4616";"461";"Handelsbemiddeling in textiel, kleding, schoeisel en lederwaren";4
"4617";"461";"Handelsbemiddeling in voedings- en genotmiddelen";4
"4618";"461";"Handelsbemiddeling gespecialiseerd in overige goederen";4
"4619";"461";"Niet-gespecialiseerde handelsbemiddeling ";4
"462";"46";"Groothandel in landbouwproducten en levende dieren";3
"4621";"462";"Groothandel in granen, ruwe tabak, oliën, zaden en veevoer";4
"46211";"4621";"Groothandel in granen                                                  ";5
"46212";"4621";"Groothandel in zaden, pootgoed en peulvruchten ";5
"46213";"4621";"Groothandel in hooi, stro en ruwvoeder ";5
"46214";"4621";"Groothandel in meng- en krachtvoeder ";5
"46215";"4621";"Groothandel in veevoeder (geen ruw-, meng- en krachtvoeder) ";5
"46216";"4621";"Groothandel in ruwe plantaardige en dierlijke oliën en vetten en oliehoudende grondstoffen";5
"46217";"4621";"Groothandel in ruwe tabak";5
"46218";"4621";"Groothandel in akkerbouwproducten en veevoeder algemeen assortiment";5
"46219";"4621";"Groothandel in overige akkerbouwproducten";5
"4622";"462";"Groothandel in bloemen en planten";4
"4623";"462";"Groothandel in levende dieren";4
"46231";"4623";"Groothandel in levend vee";5
"46232";"4623";"Groothandel in huisdieren, siervissen, siervogels en wilde dieren";5
"4624";"462";"Groothandel in huiden, vellen, leer en halffabrikaten van leer";4
"46241";"4624";"Groothandel in huiden en vellen";5
"46242";"4624";"Groothandel in leer en halffabrikaten van leer";5
"463";"46";"Groothandel in voedings- en genotmiddelen";3
"4631";"463";"Groothandel in groenten en fruit en in consumptieaardappelen";4
"46311";"4631";"Groothandel in groenten en fruit";5
"46312";"4631";"Groothandel in consumptieaardappelen";5
"4632";"463";"Groothandel in vlees en vleeswaren en in wild en gevogelte (niet levend)";4
"4633";"463";"Groothandel in zuivelproducten, spijsoliën en -vetten en eieren";4
"46331";"4633";"Groothandel in zuivelproducten en spijsoliën en -vetten";5
"46332";"4633";"Groothandel in eieren";5
"4634";"463";"Groothandel in dranken (geen zuivel)";4
"4635";"463";"Groothandel in tabaksproducten en rokersbenodigdheden";4
"4636";"463";"Groothandel in suiker, chocolade en suikerwerk";4
"4637";"463";"Groothandel in koffie, thee, cacao en specerijen (geen ruwe)";4
"4638";"463";"Groothandel in overige voedingsmiddelen en in overige grondstoffen en halffabrikaten voor de voedingsmiddelenindustrie";4
"46381";"4638";"Groothandel in snacks ";5
"46382";"4638";"Groothandel in vis, schaal- en weekdieren ";5
"46383";"4638";"Gespecialiseerde groothandel in overige voedings- en genotmiddelen (rest)";5
"46384";"4638";"Groothandel in bakkerijgrondstoffen ";5
"46389";"4638";"Gespecialiseerde groothandel in overige grondstoffen en halffabrikaten voor de voedingsmiddelen industrie (rest) ";5
"4639";"463";"Groothandel in voedings- en genotmiddelen algemeen assortiment";4
"464";"46";"Groothandel in consumentenartikelen (non-food)";3
"4641";"464";"Groothandel in kledingstoffen, fournituren en huishoudtextiel";4
"46411";"4641";"Groothandel in kledingstoffen en fournituren";5
"46412";"4641";"Groothandel in huishoudtextiel en beddengoed";5
"4642";"464";"Groothandel in kleding, schoenen en modeartikelen";4
"46421";"4642";"Groothandel in bovenkleding";5
"46422";"4642";"Groothandel in werkkleding";5
"46423";"4642";"Groothandel in onderkleding";5
"46424";"4642";"Groothandel in schoenen";5
"46425";"4642";"Groothandel in modeartikelen";5
"46429";"4642";"Groothandel in textielwaren algemeen assortiment";5
"4643";"464";"Groothandel in elektrische huishoudelijke apparatuur, audio- en videoapparatuur en fotografische en optische artikelen ";4
"46431";"4643";"Groothandel in witgoed ";5
"46432";"4643";"Groothandel in elektrische huishoudelijke apparatuur (geen witgoed, audio en video)";5
"46433";"4643";"Groothandel in audio- en videoapparatuur ";5
"46434";"4643";"Groothandel in fotografische artikelen";5
"46435";"4643";"Groothandel in beeld- en geluidsdragers";5
"46436";"4643";"Groothandel in optische artikelen";5
"4644";"464";"Groothandel in glas, porselein en aardewerk en in reinigingsmiddelen ";4
"46441";"4644";"Groothandel in glas, porselein en aardewerk";5
"46442";"4644";"Groothandel in was-, poets- en reinigingsmiddelen";5
"4645";"464";"Groothandel in parfums en cosmetica";4
"4646";"464";"Groothandel in farmaceutische producten, medische instrumenten en orthopedische artikelen ";4
"46461";"4646";"Groothandel in farmaceutische producten";5
"46462";"4646";"Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbenodigdheden";5
"4647";"464";"Groothandel in huismeubilair, woningtextiel, vloerbedekking en verlichting ";4
"46471";"4647";"Groothandel in huismeubilair";5
"46472";"4647";"Groothandel in woningtextiel en vloerbedekking";5
"46473";"4647";"Groothandel in verlichtingsartikelen";5
"4648";"464";"Groothandel in juweliersartikelen en uurwerken";4
"4649";"464";"Groothandel in overige consumentenartikelen (non-food)";4
"46491";"4649";"Groothandel in fietsen en bromfietsen";5
"46492";"4649";"Groothandel in watersportartikelen";5
"46493";"4649";"Groothandel in kampeerartikelen (geen caravans)";5
"46494";"4649";"Groothandel in speelgoed";5
"46495";"4649";"Groothandel in muziekinstrumenten";5
"46496";"4649";"Groothandel in sportartikelen (geen watersport)";5
"46497";"4649";"Groothandel in papier- en kartonwaren (geen verpakkingsmateriaal)";5
"46498";"4649";"Groothandel in boeken, tijdschriften en overig drukwerk";5
"46499";"4649";"Groothandel in overige consumentenartikelen (rest, non-food)";5
"465";"46";"Groothandel in ICT-apparatuur";3
"4651";"465";"Groothandel in computers, randapparatuur en software";4
"4652";"465";"Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen";4
"466";"46";"Groothandel in machines, apparaten en toebehoren voor industrie en handel";3
"4661";"466";"Groothandel in landbouwmachines, werktuigen en tractoren";4
"4662";"466";"Groothandel in gereedschapswerktuigen";4
"4663";"466";"Groothandel in machines voor de bouw";4
"4664";"466";"Groothandel in machines voor de textielindustrie en in naai- en breimachines";4
"4665";"466";"Groothandel in bedrijfsmeubels";4
"4666";"466";"Groothandel in kantoormachines (geen computers)";4
"4668";"466";"Groothandel in machines voor de grafische en voedings- en genotmiddelenindustrie ";4
"46681";"4668";"Groothandel in machines voor de grafische industrie";5
"46682";"4668";"Groothandel in machines voor de voedings- en genotmiddelenindustrie";5
"4669";"466";"Groothandel in overige machines, apparaten en toebehoren voor industrie en handel ";4
"46691";"4669";"Groothandel in intern transportmaterieel";5
"46692";"4669";"Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek";5
"46693";"4669";"Groothandel in verbrandingsmotoren, pompen en compressoren";5
"46694";"4669";"Groothandel in appendages, technische toebehoren e.d.";5
"46695";"4669";"Groothandel in meet- en regelapparaten";5
"46696";"4669";"Groothandel in emballage";5
"46697";"4669";"Groothandel in scheepsbenodigdheden en visserij-artikelen";5
"46699";"4669";"Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)";5
"467";"46";"Overige gespecialiseerde groothandel";3
"4671";"467";"Groothandel in brandstoffen en overige minerale olieproducten";4
"46711";"4671";"Groothandel in vaste brandstoffen ";5
"46712";"4671";"Groothandel in vloeibare en gasvormige brandstoffen";5
"46713";"4671";"Groothandel in minerale olieproducten (geen brandstoffen)";5
"4672";"467";"Groothandel in metalen en metaalertsen";4
"46721";"4672";"Groothandel in metaalertsen";5
"46722";"4672";"Groothandel in ferrometalen en -halffabrikaten";5
"46723";"4672";"Groothandel in non-ferrometalen en -halffabrikaten";5
"4673";"467";"Groothandel in hout, sanitair en overige bouwmaterialen";4
"46731";"4673";"Groothandel in hout en plaatmateriaal";5
"46732";"4673";"Groothandel in verf en verfwaren";5
"46733";"4673";"Groothandel in behang";5
"46734";"4673";"Groothandel in vlakglas";5
"46735";"4673";"Groothandel in zand en grind";5
"46736";"4673";"Groothandel in tegels en plavuizen";5
"46737";"4673";"Groothandel in sanitaire artikelen en sanitair installatiemateriaal ";5
"46738";"4673";"Groothandel gespecialiseerd in overige bouwmaterialen";5
"46739";"4673";"Groothandel in bouwmaterialen algemeen assortiment ";5
"4674";"467";"Groothandel in ijzer- en metaalwaren en verwarmingsapparaten";4
"46741";"4674";"Groothandel in ijzer- en metaalwaren";5
"46742";"4674";"Groothandel in verwarmingsapparaten";5
"4675";"467";"Groothandel in chemische producten";4
"46751";"4675";"Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing";5
"46752";"4675";"Groothandel in bestrijdingsmiddelen en meststoffen";5
"4676";"467";"Groothandel in overige intermediaire producten";4
"46761";"4676";"Groothandel in textielgrondstoffen en -halffabrikaten";5
"46762";"4676";"Groothandel in papier en karton";5
"46769";"4676";"Groothandel in overige intermediaire producten (rest)";5
"4677";"467";"Groothandel in afval en schroot";4
"46771";"4677";"Groothandel in autosloopmateriaal";5
"46772";"4677";"Groothandel in ijzer- en staalschroot en oude non-ferrometalen";5
"46779";"4677";"Groothandel in overige oude materialen en afvalstoffen";5
"469";"46";"Niet-gespecialiseerde groothandel";3
"4690";"469";"Niet-gespecialiseerde groothandel";4
"46901";"4690";"Niet-gespecialiseerde groothandel in consumentenartikelen";5
"46902";"4690";"Niet-gespecialiseerde groothandel in niet-consumentenartikelen";5
"471";"47";"Supermarkten, warenhuizen en dergelijke winkels met een algemeen assortiment";3
"4711";"471";"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen";4
"4719";"471";"Warenhuizen en dergelijke winkels met een algemeen assortiment non-food";4
"47191";"4719";"Warenhuizen";5
"47192";"4719";"Winkels met een algemeen assortiment non-food (geen warenhuizen)";5
"472";"47";"Gespecialiseerde winkels in voedings- en genotmiddelen ";3
"4721";"472";"Winkels in aardappelen, groenten en fruit ";4
"4722";"472";"Winkels in vlees en vleeswaren, wild en gevogelte ";4
"47221";"4722";"Winkels in vlees en vleeswaren";5
"47222";"4722";"Winkels in wild en gevogelte";5
"4723";"472";"Winkels in vis";4
"4724";"472";"Winkels in brood, banket, chocolade en suikerwerk ";4
"47241";"4724";"Winkels in brood en banket";5
"47242";"4724";"Winkels in chocolade en suikerwerk";5
"4725";"472";"Winkels in dranken";4
"4726";"472";"Winkels in tabaksproducten";4
"4729";"472";"Gespecialiseerde winkels in overige voedings- en genotmiddelen ";4
"47291";"4729";"Winkels in kaas";5
"47292";"4729";"Winkels in natuurvoeding en reformartikelen";5
"47293";"4729";"Winkels in buitenlandse voedingsmiddelen";5
"47299";"4729";"Gespecialiseerde winkels in overige voedings- en genotmiddelen (rest)";5
"473";"47";"Benzinestations";3
"4730";"473";"Benzinestations";4
"474";"47";"Winkels in consumentenelektronica";3
"4741";"474";"Winkels in computers, randapparatuur en software";4
"4742";"474";"Winkels in telecommunicatieapparatuur ";4
"4743";"474";"Winkels in audio- en videoapparatuur of in een algemeen assortiment van wit- en  bruingoed";4
"47431";"4743";"Winkels in audio- en videoapparatuur";5
"47432";"4743";"Winkels in een algemeen assortiment van wit- en bruingoed ";5
"475";"47";"Winkels in overige huishoudelijke artikelen";3
"4751";"475";"Winkels in kledingstoffen, huishoudtextiel en fournituren ";4
"47511";"4751";"Winkels in kledingstoffen";5
"47512";"4751";"Winkels in  huishoudtextiel";5
"47513";"4751";"Winkels in breiwol, handwerken en fournituren";5
"4752";"475";"Winkels in doe-het-zelfartikelen";4
"47521";"4752";"Winkels in ijzerwaren en gereedschappen";5
"47522";"4752";"Winkels in verf, verfwaren en behang";5
"47523";"4752";"Winkels in houten bouw- en tuinmaterialen";5
"47524";"4752";"Winkels in tegels";5
"47525";"4752";"Winkels in keukens";5
"47526";"4752";"Winkels in parket-, laminaat- en kurkvloeren";5
"47527";"4752";"Winkels gespecialiseerd in overige doe-het-zelfartikelen";5
"47528";"4752";"Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment";5
"4753";"475";"Winkels in vloerbedekking en gordijnen ";4
"4754";"475";"Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor";4
"47541";"4754";"Winkels in witgoed";5
"47542";"4754";"Winkels in naai- en breimachines";5
"47543";"4754";"Winkels in overige elektrische huishoudelijke apparatuur";5
"47544";"4754";"Winkels in onderdelen voor elektrische huishoudelijke apparatuur";5
"4759";"475";"Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)";4
"47591";"4759";"Winkels in meubels";5
"47592";"4759";"Winkels in verlichtingsartikelen";5
"47593";"4759";"Winkels in artikelen voor woninginrichting algemeen assortiment";5
"47594";"4759";"Winkels in muziekinstrumenten";5
"47595";"4759";"Winkels in glas-, porselein- en aardewerk";5
"47596";"4759";"Winkels gespecialiseerd in overige huishoudelijke artikelen (rest)";5
"47597";"4759";"Winkels in huishoudelijke artikelen algemeen assortiment";5
"476";"47";"Winkels in lectuur, sport-, kampeer- en recreatieartikelen";3
"4761";"476";"Winkels in boeken ";4
"4762";"476";"Winkels in kranten, tijdschriften en kantoorbehoeften ";4
"4763";"476";"Winkels in audio- en video-opnamen";4
"4764";"476";"Winkels in fietsen en bromfietsen, sport- en kampeerartikelen en boten ";4
"47641";"4764";"Winkels in fietsen en bromfietsen";5
"47642";"4764";"Winkels in watersportartikelen";5
"47643";"4764";"Winkels in sportartikelen (geen watersport)";5
"47644";"4764";"Winkels in kampeerartikelen (geen caravans)";5
"4765";"476";"Winkels in speelgoed";4
"477";"47";"Winkels in overige artikelen";3
"4771";"477";"Winkels in kleding en modeartikelen; textielsupermarkten";4
"47711";"4771";"Winkels in herenkleding ";5
"47712";"4771";"Winkels in dameskleding ";5
"47713";"4771";"Winkels in bovenkleding en modeartikelen (algemeen assortiment) ";5
"47714";"4771";"Winkels in baby- en kinderkleding";5
"47715";"4771";"Winkels in babyartikelen algemeen assortiment";5
"47716";"4771";"Winkels in onderkleding, foundations e.d.";5
"47717";"4771";"Winkels in modeartikelen";5
"47718";"4771";"Textielsupermarkten";5
"4772";"477";"Winkels in schoenen en lederwaren ";4
"47721";"4772";"Winkels in schoenen";5
"47722";"4772";"Winkels in lederwaren en reisartikelen";5
"4773";"477";"Apotheken";4
"4774";"477";"Winkels in drogisterij-, medische en orthopedische artikelen";4
"47741";"4774";"Winkels in drogisterij-artikelen ";5
"47742";"4774";"Winkels in medische en orthopedische artikelen";5
"4775";"477";"Winkels in parfums en cosmetica";4
"4776";"477";"Winkels in bloemen, planten, zaden, tuinbenodigdheden, huisdieren en dierbenodigdheden ";4
"47761";"4776";"Winkels in bloemen en planten, zaden en tuinbenodigdheden";5
"47762";"4776";"Tuincentra";5
"47763";"4776";"Winkels in dieren, dierbenodigdheden en hengelsportartikelen";5
"4777";"477";"Winkels in juweliersartikelen en uurwerken ";4
"4778";"477";"Winkels in overige artikelen (rest)";4
"47781";"4778";"Winkels in fotografische artikelen";5
"47782";"4778";"Winkels in optische artikelen";5
"47783";"4778";"Winkels in schilderijen, lijsten, prenten, kunstvoorwerpen en religieuze artikelen";5
"47789";"4778";"Winkels gespecialiseerd in overige artikelen (rest)";5
"4779";"477";"Winkels in antiek en tweedehands goederen ";4
"47791";"4779";"Winkels in antiek";5
"47792";"4779";"Winkels in tweedehands kleding";5
"47793";"4779";"Winkels in tweedehands goederen (geen kleding)";5
"478";"47";"Markthandel";3
"4781";"478";"Markthandel in voedings- en genotmiddelen";4
"47811";"4781";"Markthandel in aardappelen, groenten en fruit";5
"47819";"4781";"Markthandel in overige voedings- en genotmiddelen";5
"4782";"478";"Markthandel in textiel, kleding en schoenen";4
"4789";"478";"Markthandel in non-food artikelen (geen textiel, kleding en schoenen)";4
"47891";"4789";"Markthandel in bloemen, planten, zaden en tuinbenodigdheden";5
"47892";"4789";"Markthandel in tweedehands goederen";5
"47899";"4789";"Markthandel in overige goederen";5
"479";"47";"Detailhandel niet via winkel of markt";3
"4791";"479";"Detailhandel via internet";4
"47911";"4791";"Detailhandel via internet in voedingsmiddelen en drogisterijwaren ";5
"47912";"4791";"Detailhandel via internet in consumentenelektronica ";5
"47913";"4791";"Detailhandel via internet in boeken, tijdschriften, cd's, dvdâ€™s ";5
"47914";"4791";"Detailhandel via internet in kleding en mode-artikelen";5
"47915";"4791";"Detailhandel via internet in huis- en tuinartikelen";5
"47916";"4791";"Detailhandel via internet in vrijetijdsartikelen";5
"47918";"4791";"Detailhandel via internet in overige non-food";5
"47919";"4791";"Detailhandel via internet in een algemeen assortiment non-food";5
"4799";"479";"Colportage, straathandel en detailhandel via overige distributievormen";4
"47991";"4799";"Colportage";5
"47992";"4799";"Straathandel";5
"47999";"4799";"Detailhandel via overige distributievormen";5
"491";"49";"Personenvervoer per spoor (geen tram of metro)";3
"4910";"491";"Personenvervoer per spoor (geen tram of metro)";4
"492";"49";"Goederenvervoer per spoor";3
"4920";"492";"Goederenvervoer per spoor";4
"493";"49";"Personenvervoer over de weg";3
"4931";"493";"Openbaar vervoer binnen steden";4
"4932";"493";"Vervoer per taxi";4
"4939";"493";"Vervoer per bus, tram en metro (geen stadsvervoer)";4
