"code";"code_parent";"description";"layer_no"
"01303";"0130";"Teelt van perkplanten onder glas";5
"01304";"0130";"Teelt van potplanten onder glas             ";5
"01305";"0130";"Teelt van boomkwekerijgewassen in de volle grond";5
"01309";"0130";"Teelt van overige sierplanten in de volle grond";5
"014";"01";"Fokken en houden van dieren";3
"0141";"014";"Fokken en houden van melkvee";4
"01411";"0141";"Houden van melkvee";5
"01412";"0141";"Opfokken van jongvee voor de melkveehouderij";5
"0142";"014";"Fokken en houden van runderen (geen melkvee)";4
"01421";"0142";"Houden van vleeskalveren";5
"01422";"0142";"Overige vleesveehouderij en zoogkoeienbedrijven";5
"0143";"014";"Fokken en houden van paarden en ezels";4
"0145";"014";"Fokken en houden van schapen en geiten";4
"01451";"0145";"Fokken en houden van schapen";5
"01452";"0145";"Fokken en houden van geiten";5
"0146";"014";"Fokken en houden van varkens";4
"01461";"0146";"Fokvarkens- en vermeerderingsbedrijven";5
"01462";"0146";"Vleesvarkensbedrijven";5
"01463";"0146";"Gesloten en deels gesloten varkensbedrijven";5
"0147";"014";"Opfokken en/of houden van pluimvee";4
"01471";"0147";"Opfokken en/of houden van  leghennen";5
"01472";"0147";"Opfokken en/of houden van vleeskuikens ";5
"01473";"0147";"Opfokken en/of houden van ouderdieren van leghennen en vleeskuikens";5
"01479";"0147";"Opfokken en/of houden van overig pluimvee";5
"0149";"014";"Fokken en houden van overige dieren";4
"01491";"0149";"Fokken en houden van edelpelsdieren";5
"01499";"0149";"Fokken en houden van overige dieren (rest)";5
"015";"01";"Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ";3
"0150";"015";"Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ";4
"016";"01";"Dienstverlening voor de landbouw; behandeling van gewassen en zaden na de oogst";3
"0161";"016";"Dienstverlening voor de akker- en/of tuinbouw ";4
"0162";"016";"Dienstverlening voor het fokken en houden van dieren ";4
"0163";"016";"Behandeling van gewassen na de oogst";4
"0164";"016";"Behandeling van zaden voor vermeerdering";4
"017";"01";"Jacht";3
"0170";"017";"Jacht";4
"021";"02";"Bosbouw";3
"0210";"021";"Bosbouw";4
"022";"02";"Exploitatie van bossen";3
"0220";"022";"Exploitatie van bossen";4
"024";"02";"Dienstverlening voor de bosbouw";3
"0240";"024";"Dienstverlening voor de bosbouw";4
"031";"03";"Visserij";3
"0311";"031";"Zee- en kustvisserij";4
"0312";"031";"Binnenvisserij";4
"032";"03";"Kweken van vis en schaaldieren ";3
"0321";"032";"Kweken van zeevis en -schaaldieren";4
"0322";"032";"Kweken van zoetwatervis en -schaaldieren";4
"061";"06";"Winning van aardolie";3
"0610";"061";"Winning van aardolie";4
"062";"06";"Winning van aardgas";3
"0620";"062";"Winning van aardgas";4
"081";"08";"Winning van zand, grind en klei";3
"0812";"081";"Winning van zand, grind en klei";4
"089";"08";"Winning van overige delfstoffen";3
"0892";"089";"Winning van turf ";4
"0893";"089";"Winning van zout";4
"0899";"089";"Winning van overige delfstoffen (rest)";4
"091";"09";"Dienstverlening voor de winning van aardolie en aardgas";3
"0910";"091";"Dienstverlening voor de winning van aardolie en aardgas";4
"099";"09";"Dienstverlening voor de winning van delfstoffen (geen olie en gas)";3
"0990";"099";"Dienstverlening voor de winning van delfstoffen (geen olie en gas)";4
"101";"10";"Slachterijen en vleesverwerking";3
"1011";"101";"Slachterijen (geen pluimvee-)";4
"1012";"101";"Pluimveeslachterijen";4
"1013";"101";"Vleesverwerking (niet tot maaltijden)";4
"102";"10";"Visverwerking";3
"1020";"102";"Visverwerking";4
"103";"10";"Verwerking van aardappels, groente en fruit";3
"1031";"103";"Vervaardiging van aardappelproducten";4
"1032";"103";"Vervaardiging van fruit- en groentesap";4
"1039";"103";"Verwerking van groente en fruit (niet tot sap en maaltijden)";4
"104";"10";"Vervaardiging van plantaardige en dierlijke oliën en vetten ";3
"1041";"104";"Vervaardiging van plantaardige en dierlijke oliën en vetten (geen margarine en andere spijsvetten)";4
"1042";"104";"Vervaardiging van margarine en overige spijsvetten";4
